Step,Attacker Reward,Defender Reward
1,0.53125,0.5625
2,0.40625,0.4375
3,0.21875,0.90625
4,0.3125,0.90625
5,0.28125,0.65625
6,0.40625,0.75
7,0.28125,0.90625
8,0.4375,1
9,0.46875,1
10,0.4375,1
11,0.375,1
12,0.59375,1
13,0.3125,1
14,0.3125,1
15,0.5625,1
16,0.53125,0.96875
17,0.375,1
18,0.21875,1
19,0.34375,1
20,0.59375,1
21,0.421875,0.78125
22,0.46875,0.703125
23,0.3125,0.953125
24,0.25,0.953125
25,0.21875,0.828125
26,0.375,0.875
27,0.3125,0.953125
28,0.453125,1
29,0.453125,1
30,0.34375,1
31,0.296875,1
32,0.515625,1
33,0.328125,1
34,0.46875,0.984375
35,0.484375,1
36,0.546875,0.984375
37,0.296875,1
38,0.234375,1
39,0.296875,1
40,0.5,1
41,0.385416667,0.854166667
42,0.489583333,0.791666667
43,0.25,0.958333333
44,0.239583333,0.96875
45,0.208333333,0.885416667
46,0.354166667,0.916666667
47,0.364583333,0.96875
48,0.447916667,1
49,0.427083333,1
50,0.333333333,1
51,0.3125,1
52,0.520833333,1
53,0.322916667,1
54,0.489583333,0.989583333
55,0.4375,1
56,0.541666667,0.989583333
57,0.28125,1
58,0.239583333,1
59,0.302083333,1
60,0.458333333,1
61,0.3828125,0.890625
62,0.484375,0.84375
63,0.234375,0.96875
64,0.25,0.9765625
65,0.2265625,0.9140625
66,0.328125,0.9375
67,0.3515625,0.9765625
68,0.4296875,1
69,0.4453125,1
70,0.3515625,1
71,0.3125,1
72,0.4921875,1
73,0.328125,1
74,0.4609375,0.9921875
75,0.4375,1
76,0.53125,0.9921875
77,0.2734375,1
78,0.265625,1
79,0.3125,0.9921875
80,0.4140625,1